Sitename:Sedgwick Grass Site
Location: Latitude:   34.6991348 - Longitude: -120.0526886 - Elevation (masl):   367.
Principal investigator: 
Ecosystem type: 
File creation date: 2019-03-28T08:16
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
 2019,0,84.645730000000000,84,1530,0.10097959707649251,6.9378116861979606,136.41881837869892,0.99106091488983850,8.8028342011482188,8.8028342011482188,-0.0000000000000000,-12.085589237014162,0.0000000000000000,-10.001215509538653,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.042928333333322,98.033658934461812,441.71872784164253,3.9362119851819442E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.7426761159679707,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.7438000684690773E-002
 2019,0,84.666560000000004,84,1600,9.0810596893030657E-002,10.464907701280424,176.94125430183567,0.27695736360727913,-8.9252254677410665,-8.9252254677410665,-0.0000000000000000,56.131233966676653,0.0000000000000000,98.169952199786607,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.042928333333322,98.052537988281259,415.26242899225809,4.9975564311812153E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.367270656153321,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.17510525823986786
 2019,0,84.770710000000008,84,1830,0.38864356338774830,16.515695512559716,44.450345927549506,0.80574401217743774,-6999.0000000000000,-9.0587297068175872,-9999.0000000000000,151.83448606648594,-9999.0000000000000,94.108624061095000,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,67.329119583333338,98.068683268229179,413.95510006541167,0.61202571788285487,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.857749073212961,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.0406447135077888E-003
 2019,0,84.791539999999998,84,1900,0.24693738742492496,17.113557162814686,129.31158160470218,1.9060684612984606,-19.349326673374627,-19.349326673374627,-0.0000000000000000,211.73074562503990,0.0000000000000000,249.95113084471981,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,67.329119583333338,98.074527460937503,411.02081665481558,0.63569619071856276,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,13.354234647013218,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.2834453059885201E-002
 2019,0,84.812370000000001,84,1930,0.31434486605585815,17.256634928385438,135.61661423935189,2.4555665964032984,-25.908761392164124,-25.908761392164124,-0.0000000000000000,259.73173348105013,0.0000000000000000,332.34073532299863,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,67.329119583333338,98.074867109375006,408.06499910342927,0.64147852179600140,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,13.475658906248871,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.9525441615649192E-002
 2019,0,84.833200000000005,84,2000,0.28191704082571301,17.587863922119141,139.52675083903924,2.5133460725396688,-27.678727092549664,-27.678727092549664,-0.0000000000000000,287.50250138267643,0.0000000000000000,389.27491897160945,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,67.329119583333338,98.047913294270842,407.42002422067691,0.65504202618942808,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,13.764372820315838,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.9966309610340549E-002
 2019,0,84.937350000000009,84,2230,0.30008654236257254,18.566027781168657,126.53714185090263,1.4612157438039133,-6999.0000000000000,-21.707985425965965,-9999.0000000000000,245.60316055010659,-9999.0000000000000,302.68202791490324,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.737379583333329,97.937791970486117,406.30582991231370,0.90108043764968060,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.566010602514771,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.1246057491406786E-002
 2019,0,84.958179999999999,84,2300,0.27002109467271135,18.478329993353952,141.31407684661025,2.3718228418876013,-18.849090619459005,-18.849090619459005,-0.0000000000000000,194.15797402904229,-0.0000000000000000,258.79144136360156,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.737379583333329,97.920013832465287,405.39535352466805,0.89614471504060000,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.499448479120023,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.3057285500628428E-002
 2019,0,84.979010000000002,84,2330,0.25922720306942998,18.628175964355478,113.31415455172311,1.2227436345567708,-12.230767364932822,-12.230767364932822,-0.0000000000000000,152.14770868500941,0.0000000000000000,174.29346222722253,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.737379583333329,97.878622252604174,405.34244182226189,0.90459260214718618,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.622615497225270,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.0426327823661002E-002
 2019,0,85.000000000000000,85,000,0.23548497046264788,18.897232835557759,103.69318293702185,0.93191047236809177,-9.5679890665361107,-9.5679890665361107,0.0000000000000000,105.93483462019195,0.0000000000000000,118.93391386539257,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.737379583333329,97.831774131944442,405.39222224165917,0.91993643647527279,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.842869224546684,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.8977779641464063E-002
 2019,0,85.104150000000004,85,230,9.2094257707740781E-002,11.832228546142574,127.76979526410797,1.2826823620367764,-6999.0000000000000,-5.3801083338980575,-9999.0000000000000,7.2153531158903768,-9999.0000000000000,-3.5974043132007081,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,64.133931249999989,97.833012217881944,425.06620321064514,0.49599819330803746,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.0632148456405144,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.1626868418472705E-002
 2019,0,85.124979999999994,85,300,7.8936942649493719E-002,9.8193010626898740,130.67658941967716,1.8095793098090049,-1.2825152830463042,-1.2825152830463042,0.0000000000000000,5.1458490371782508,-0.0000000000000000,1.7067558652231520,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,64.133931249999989,97.844075243055556,436.98269832000994,0.43381880215557045,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.9261346138646545,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.4497043292332325E-002
 2019,0,85.145809999999997,85,330,7.0357687221988388E-002,8.3260887315538525,130.22062963770458,1.6777668947165829,3.7910543492819757,3.7910543492819757,0.0000000000000000,-9.3013672908945093,-0.0000000000000000,1.9707705945948331,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,64.133931249999989,97.857336395399315,448.49385174483530,0.39223603017121922,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.1654208045291004,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6.2536580496237476E-002
 2019,0,85.166640000000001,85,400,4.0552510656105191E-002,6.6647958713107869,134.42485127825714,0.75796591661788593,0.73215486904717031,0.73215486904717031,0.0000000000000000,0.91497490789031155,-0.0000000000000000,0.23661641395390989,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,64.133931249999989,97.895211263020826,461.21942799808932,0.35013838888605608,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.3939006985571440,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.2123709091265794E-002
 2019,0,85.270790000000005,85,630,8.0243492476772926E-002,3.8239382765028722,122.87847142041574,1.5808149298785050,-6999.0000000000000,3.9705054124339485,-9999.0000000000000,-13.578912692776884,-9999.0000000000000,-0.80058183394652727,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.262569999999997,97.920165594618055,466.47002269101904,0.11005081717743076,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.0553985839763032,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6.1517448561032986E-002
 2019,0,85.291619999999995,85,700,0.10566457330422910,3.2686761644151829,125.84332042793505,1.9395075199807725,8.4170722395278244,8.4170722395278244,0.0000000000000000,-21.942215262538614,-0.0000000000000000,-3.5916290605896304,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.262569999999997,97.931152699652785,469.86572759680269,0.10582219983280720,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.7835392172116782,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.3535495130985376E-002
 2019,0,85.312449999999998,85,730,9.3227668019526616E-002,3.0156264580621155,120.78233491429168,1.7111413663886081,6.4005620271545425,6.4005620271545425,-0.0000000000000000,-18.088360792819689,-0.0000000000000000,-2.8200377629088651,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.262569999999997,97.922887988281246,468.05455822592563,0.10394323402709869,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.6636539056609516,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-5.2257955252612474E-002
 2019,0,85.333280000000002,85,800,0.11758595306133235,2.7302457004123539,124.11217191493259,1.8209052955808724,11.932883741066583,11.932883741066583,0.0000000000000000,-25.730882406468641,-0.0000000000000000,-7.7993051489438789,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.262569999999997,97.875795661892369,471.69559013478994,0.10185966390214685,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.5332210748674591,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.7062643214370125E-002
 2019,0,85.437430000000006,85,1030,0.19727757148167105,2.4492104932997449,129.55795906017391,1.9058388917156708,-6999.0000000000000,11.083027533938576,-9999.0000000000000,-33.942673671570191,-9999.0000000000000,-10.928276289138980,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.255433333333329,97.744625772569449,459.92392072152518,4.9019697098128062E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.9323638442245050,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.0362145801629336E-002
 2019,0,85.458259999999996,85,1100,0.13042281088343932,2.2405429416232892,128.26293519017386,1.9408086396247795,8.4185653671796548,8.4185653671796548,0.0000000000000000,-20.568686278530858,-0.0000000000000000,-9.2330244732146305,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.255433333333329,97.697752070312504,460.98976818674066,4.8296169607241493E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.8333195488948153,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.1739015911566576E-002
 2019,0,85.479089999999999,85,1130,0.22218781030098206,2.7016538831923071,135.87881033261255,2.0591066414207972,11.004945811551249,11.004945811551249,-0.0000000000000000,-40.167778050392563,0.0000000000000000,-11.767848115729802,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.255433333333329,97.686139978298613,454.20839437411882,4.9907821290477841E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.0621880180462142,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-8.5867446551961182E-003
 2019,0,85.499920000000003,85,1200,0.16612295196453511,2.7773104858398483,135.30273996925081,1.9356498705621810,6.9504544394912608,6.9504544394912608,-0.0000000000000000,-21.717046851592237,0.0000000000000000,-8.6321997117071785,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.255433333333329,97.659419262152781,453.20354206332246,5.0176747921100745E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.1021850888813498,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.1109761646130945E-002
 2019,0,85.604070000000007,85,1430,0.10209072459806240,2.3548337809244799,125.32900347921134,1.8230063475867213,-6999.0000000000000,4.9074837810447427,-9999.0000000000000,-13.652387459593081,-9999.0000000000000,-5.3912251847802839,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.379404583333340,97.688292000868060,454.50098663711759,5.5015622640130574E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.8251671265676404,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.0086638228711649E-002
 2019,0,85.624899999999997,85,1500,0.11695811769619123,3.2935900200737933,121.48378412953545,1.5186049106570634,1.1684655716538985,1.1684655716538985,-0.0000000000000000,-1.5861586941029644,0.0000000000000000,5.5019311223873535,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.379404583333340,97.704160889756935,445.25210467729545,5.8806503615552633E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.2942740148907834,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.3242839952983844E-003
 2019,0,85.645730000000000,85,1530,0.12909621512172895,5.6572714233398074,153.37002001146186,0.58019181849638057,-16.589466273010501,-16.589466273010501,-0.0000000000000000,47.439257746707334,0.0000000000000000,67.688642859674701,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.379404583333340,97.715061749131948,431.84090315285886,6.9393290631329596E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.6064836032381571,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.1675545334462468E-002
 2019,0,85.666560000000004,85,1600,0.12832460864824455,9.0593709309895871,297.25820726518498,0.65466231510639050,-5.4852941513874667,-5.4852941513874667,-0.0000000000000000,-4.6628275074894683,0.0000000000000000,80.113323912335019,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.379404583333340,97.742961569010419,418.77745627407796,8.7580619976916976E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.859061572340279,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-5.1680651270219332E-003
 2019,0,85.770710000000008,85,1830,0.35939196609905694,15.541099039713572,310.17817612467798,0.84330683010382801,-6999.0000000000000,-20.566117859585589,-9999.0000000000000,222.79545526535912,-9999.0000000000000,235.40292009080918,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,55.864254583333370,97.775293821614582,412.53163278390980,0.77690677783453133,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.054647363980504,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.1238622033915083E-002
 2019,0,85.791539999999998,85,1900,0.22035363349950360,16.314220547146306,312.42420357602873,1.7597476227582238,-22.112067662776639,-22.112067662776639,-0.0000000000000000,225.67295111950577,0.0000000000000000,283.73821990790827,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,55.864254583333370,97.731414561631951,408.99347057440974,0.81625960647025775,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.568690592692299,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.9399801258605443E-002
 2019,0,85.812370000000001,85,1930,0.28827387807514904,17.588473290337504,307.88302570139444,1.1614436875122063,-21.481947380218912,-21.481947380218912,-0.0000000000000000,249.13072381840936,0.0000000000000000,303.38985830407057,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,55.864254583333370,97.693315507812500,407.15695790876953,0.88494338693357710,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.462456547383541,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.4359095477431859E-002
 2019,0,85.833200000000005,85,2000,0.29777357882138145,19.054149525960327,339.13059450711069,0.68239424509234159,-20.123174042503067,-20.123174042503067,0.0000000000000000,236.04717192688898,0.0000000000000000,386.67081548909982,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,55.864254583333370,97.680435870225708,408.17211089102159,0.97016377150190991,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.567952397084097,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.0938009164197139E-002
 2019,0,85.937350000000009,85,2230,0.29778470813257463,21.109497138129370,333.48796918953525,0.66867792277865479,-6999.0000000000000,-14.522867016263477,-9999.0000000000000,174.08126367404404,-9999.0000000000000,271.37483552775132,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,36.285662916666674,97.548489092881951,409.57252607608444,1.5904752039787196,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.2829875774242101,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.5462366287683613E-002
 2019,0,85.958179999999999,85,2300,0.29844797351318708,21.655443233913843,354.19269624025594,0.42655734988606797,-13.688505101585907,-13.688505101585907,0.0000000000000000,163.55172288152824,0.0000000000000000,238.76763400630517,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,36.285662916666674,97.528508773871522,409.57359249228699,1.6445680667717129,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.6006731135990204,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.4431619815077620E-002
 2019,0,85.979010000000002,85,2330,0.26245973333209155,21.242115732828779,346.64987353860073,0.70422209542253222,-13.031926881415252,-13.031926881415252,-0.0000000000000000,137.26999911692528,-0.0000000000000000,208.31522457058392,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,36.285662916666674,97.486326371527767,409.37175739406132,1.6034700495843632,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.3648011711373105,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.7815952804555838E-002
 2019,0,86.000000000000000,86,000,0.33713967461700489,19.891646338568762,123.14381262732923,1.9392594152711147,-8.0655776661151517,-8.0655776661151517,-0.0000000000000000,73.586212936976992,-0.0000000000000000,194.31120231336763,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,36.285662916666674,97.465894889322911,405.47572813323455,1.4753823946981217,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.6185327420121975,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5073503169805783E-003
 2019,0,86.104150000000004,86,230,0.12438495293635250,14.513894466824013,104.44677803489697,0.93499519771005357,-6999.0000000000000,7.9605774943384677,-9999.0000000000000,-17.675379244450632,-9999.0000000000000,3.4056474790029876,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,75.739033333333310,97.470901132812514,415.99172338452809,0.39973522767919284,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.799488647933050,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.1545200491611748E-002
 2019,0,86.124979999999994,86,300,7.7305942881596160E-002,13.463849690755239,111.20378111218574,0.94206876446842236,7.7219571125639499,7.7219571125639499,0.0000000000000000,-4.7100770455324543,-0.0000000000000000,-4.9765066037144132E-002,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,75.739033333333310,97.493595355902784,418.97764720781402,0.37340388342190134,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.953578040591205,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.3915222232346552E-002
 2019,0,86.145809999999997,86,330,8.7617083626518502E-002,12.208905792236351,132.86455975947473,0.94327554420870852,11.405583209483284,11.405583209483284,0.0000000000000000,-21.600937141920117,-0.0000000000000000,-11.340943811968312,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,75.739033333333310,97.531773437500007,426.80567387218838,0.34394337224243671,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.006164545748765,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.5326972980829049E-002
 2019,0,86.166640000000001,86,400,8.2032441373546316E-002,11.143088277180993,123.68007775632088,1.2368293492130120,2.3901600671989502,2.3901600671989502,0.0000000000000000,-4.0139058655651167,-0.0000000000000000,0.58465829284744864,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,75.739033333333310,97.560204739583341,437.40198751049792,0.32054854787923093,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.254542473263024,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.7054080515648776E-002
 2019,0,86.270790000000005,86,630,3.7375915479658302E-002,8.2629497104221059,124.37374786120847,0.60939345093069153,-6999.0000000000000,4.6418682748676288,-9999.0000000000000,-2.3771493083279842,-9999.0000000000000,-1.3490204334338023,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.511982916666668,97.693316759982636,473.38799731132889,5.9760910018901998E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.531913628341494,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.10667854161581898
 2019,0,86.291619999999995,86,700,6.8717958944405813E-002,8.9114833916558496,118.22237046256801,0.87848583549064063,4.1215249614887197,4.1215249614887197,-0.0000000000000000,-1.7398512459358459,0.0000000000000000,-0.88355535941499352,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.511982916666668,97.700476757812510,465.46093906743073,6.2444975028862017E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.004131065113880,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.2561308086092838E-002
 2019,0,86.312449999999998,86,730,8.3864824586971670E-002,8.4518719651964602,129.68747928432708,1.3705578298806307,5.5386843623006197,5.5386843623006197,0.0000000000000000,-4.5412756322390928,-0.0000000000000000,-2.8783455035675236,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.511982916666668,97.680123710937508,471.48394573079389,6.0532091323919533E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.669262952538649,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.8041172387832528E-002
